,keys,Actual TOW,Estimated TOW,Difference
1899,AB_2104_BLR_6,44877.0,0.0,44877.0
1900,AB_2325_BLR_5,44757.0,0.0,44757.0
1901,AB_2341_BOM_5,44757.0,0.0,44757.0
1902,AB_2519_COK_5,45430.0,0.0,45430.0
1903,AB_2102_AMD_5,44757.0,0.0,44757.0
1904,AB_2110_BOM_5,44757.0,0.0,44757.0
1905,AB_2341_BOM_6,44877.0,0.0,44877.0
1906,AB_2518_BOM_5,45430.0,0.0,45430.0
1907,AB_2519_COK_6,44877.0,0.0,44877.0
1908,AB_2110_BOM_6,44877.0,0.0,44877.0
1909,AB_2465_GOX_5,45446.0,0.0,45446.0
1910,AB_2518_BOM_6,44877.0,0.0,44877.0
1911,AB_2127_BOM_5,44584.0,0.0,44584.0
1912,AB_2371_GOX_5,44584.0,0.0,44584.0
1913,AB_2643_HYD_5,44584.0,0.0,44584.0
1914,AB_2109_BLR_5,45430.0,0.0,45430.0
1915,AB_2394_BOM_5,45446.0,0.0,45446.0
1916,AB_2642_BOM_5,44584.0,0.0,44584.0
1917,AB_2738_BOM_5,44584.0,0.0,44584.0
1918,AB_2355_DEL_5,44584.0,0.0,44584.0
1919,AB_2109_BLR_6,44877.0,0.0,44877.0
1920,AB_2128_DEL_5,44584.0,0.0,44584.0
1921,AB_2104_BLR_5,44757.0,0.0,44757.0
1922,AB_2424_VNS_4,58980.0,15468.0,43512.0
1923,AB_2341_BOM_7,44710.0,0.0,44710.0
1924,AB_2377_BLR_7,44584.0,0.0,44584.0
1925,AB_2518_BOM_7,44710.0,0.0,44710.0
1926,AB_2110_BOM_7,44710.0,0.0,44710.0
1927,AB_2373_IXB_7,44584.0,0.0,44584.0
1928,AB_2541_CCU_7,44584.0,0.0,44584.0
1929,AB_7583_BLR_6,44584.0,0.0,44584.0
1930,AB_8119_LKO_6,44584.0,0.0,44584.0
1931,AB_2109_BLR_7,44710.0,0.0,44710.0
1932,AB_2372_BLR_6,44584.0,0.0,44584.0
1933,AB_2372_GAU_6,44584.0,0.0,44584.0
1934,AB_2373_IXB_6,44584.0,0.0,44584.0
1935,AB_2519_COK_7,44710.0,0.0,44710.0
1936,AB_2541_CCU_6,44584.0,0.0,44584.0
1937,AB_2104_BLR_7,44710.0,0.0,44710.0
1938,AB_2525_BOM_4,58050.0,15266.8,42783.2
1939,AB_2508_AMD_4,57528.0,16144.5,41383.5
1940,AB_2397_GOX_4,57888.0,13918.0,43970.0
1941,AB_2386_IXB_6,44398.0,0.0,44398.0
1942,AB_2624_GOX_8,44746.0,0.0,44746.0
1943,AB_2630_DEL_7,44746.0,0.0,44746.0
1944,AB_2365_PNQ_8,44746.0,0.0,44746.0
1945,AB_2379_GOX_7,44398.0,0.0,44398.0
1946,AB_2120_BOM_6,44398.0,0.0,44398.0
1947,AB_2385_BOM_6,44398.0,0.0,44398.0
1948,AB_2627_GOX_8,44746.0,0.0,44746.0
1949,AB_2342_AMD_7,44398.0,0.0,44398.0
1950,AB_2378_DEL_7,44398.0,0.0,44398.0
1951,AB_2146_DEL_6,44398.0,0.0,44398.0
1952,AB_2334_DEL_7,44398.0,0.0,44398.0
1953,AB_2364_BLR_8,44746.0,0.0,44746.0
1954,AB_2437_BLR_8,44746.0,0.0,44746.0
1955,AB_2509_PNQ_8,44746.0,0.0,44746.0
1956,AB_2318_PNQ_7,44398.0,0.0,44398.0
1957,AB_2145_AMD_6,44398.0,0.0,44398.0
1958,AB_2508_AMD_7,44398.0,0.0,44398.0
1959,AB_2629_GOX_7,44746.0,0.0,44746.0
1960,AB_2628_BLR_7,44746.0,0.0,44746.0
1961,AB_2719_DEL_6,44398.0,0.0,44398.0
1962,AB_2485_BLR_7,44746.0,0.0,44746.0
1963,AB_2485_MAA_7,44746.0,0.0,44746.0
1964,AB_2486_IXZ_7,44746.0,0.0,44746.0
1965,AB_2486_MAA_7,44746.0,0.0,44746.0
1966,AB_2625_DEL_8,44746.0,0.0,44746.0
1967,AB_2332_AMD_4,57910.0,17270.0,40640.0
1968,AB_2367_BOM_4,57043.0,14412.33,42630.67
1969,AB_2318_PNQ_4,58043.0,17335.1,40707.9
1970,AB_1071_DOH_4,51446.0,7200.0,44246.0
1971,AB_2323_BLR_5,59521.0,18044.8,41476.2
1972,AB_2462_BLR_5,56513.0,13092.0,43421.0
1973,AB_2463_GOX_5,54598.0,10951.0,43647.0
1974,AB_2498_BOM_5,58738.0,16076.78,42661.22
1975,AB_2497_VNS_5,58193.0,14281.0,43912.0
1976,AB_2503_BOM_5,57453.0,16646.11,40806.89
1977,AB_2377_BLR_5,57540.0,15558.8,41981.2
1978,AB_2628_BLR_5,44398.0,0.0,44398.0
1979,AB_2629_GOX_5,44398.0,0.0,44398.0
1980,AB_2562_CCU_5,58303.0,16230.0,42073.0
1981,AB_2637_BOM_5,58556.0,16008.86,42547.14
1982,AB_2485_BLR_5,51040.0,7803.3,43236.7
1983,AB_2102_AMD_6,45438.0,0.0,45438.0
1984,AB_2325_BLR_6,45438.0,0.0,45438.0
1985,AB_2394_BOM_6,45438.0,0.0,45438.0
1986,AB_2421_BLR_6,45430.0,0.0,45430.0
1987,AB_2465_GOX_6,45438.0,0.0,45438.0
1988,AB_2492_VNS_6,45430.0,0.0,45430.0
1989,AB_2497_VNS_6,45430.0,0.0,45430.0
1990,AB_2498_BOM_6,45430.0,0.0,45430.0
1991,AB_2561_BLR_5,51553.0,8100.0,43453.0
1992,AB_2421_BLR_5,51553.0,7228.4,44324.6
1993,AB_2372_BLR_5,58565.0,16563.67,42001.33
1994,AB_2638_SXR_5,59141.0,16306.0,42835.0
1995,AB_2486_IXZ_5,57370.0,15670.0,41700.0
1996,AB_2485_MAA_5,57205.0,15918.5,41286.5
1997,AB_2492_VNS_5,59403.0,15625.0,43778.0
1998,AB_2373_IXB_5,58555.0,16243.22,42311.78
1999,AB_2561_BLR_6,44877.0,0.0,44877.0
2000,AB_2562_CCU_6,44877.0,0.0,44877.0
2001,AB_2563_PNQ_6,44877.0,0.0,44877.0
2002,AB_2564_CCU_6,44877.0,0.0,44877.0
2003,AB_2401_LKO_6,44951.0,0.0,44951.0
2004,AB_2527_BLR_6,44951.0,0.0,44951.0
2005,AB_2563_PNQ_5,57718.0,15540.0,42178.0
2006,AB_2323_GAU_5,59286.0,15728.7,43557.3
2007,AB_2486_MAA_5,58265.0,15025.0,43240.0
2008,AB_2561_BLR_19,44877.0,0.0,44877.0
2009,AB_2630_DEL_19,44796.0,0.0,44796.0
2010,AB_2613_VNS_19,44866.0,0.0,44866.0
2011,AB_2625_DEL_19,44520.0,0.0,44520.0
2012,AB_2563_PNQ_19,44877.0,0.0,44877.0
2013,AB_2822_AYJ_19,44803.0,0.0,44803.0
2014,AB_2437_BLR_19,44520.0,0.0,44520.0
2015,AB_2628_BLR_19,44796.0,0.0,44796.0
2016,AB_2821_BLR_19,44803.0,0.0,44803.0
2017,AB_2525_BOM_19,44757.0,0.0,44757.0
2018,AB_2562_CCU_19,44877.0,0.0,44877.0
2019,AB_2627_GOX_19,44520.0,0.0,44520.0
2020,AB_2323_GAU_19,45286.0,0.0,45286.0
2021,AB_2439_BOM_19,44852.0,0.0,44852.0
2022,AB_2524_BOM_19,44757.0,0.0,44757.0
2023,AB_2564_CCU_19,44877.0,0.0,44877.0
2024,AB_2612_BLR_19,44866.0,0.0,44866.0
2025,AB_2624_GOX_19,44520.0,0.0,44520.0
2026,AB_2629_GOX_19,44796.0,0.0,44796.0
2027,AB_2486_MAA_19,44796.0,0.0,44796.0
2028,AB_2608_DEL_19,44398.0,0.0,44398.0
2029,AB_1070_BOM_19,45438.0,0.0,45438.0
2030,AB_1071_DOH_19,45438.0,0.0,45438.0
2031,AB_2324_GAU_19,45286.0,0.0,45286.0
2032,AB_2485_MAA_19,44796.0,0.0,44796.0
2033,AB_2607_DEL_19,44398.0,0.0,44398.0
2034,AB_2630_DEL_5,44398.0,0.0,44398.0
2035,AB_2324_IXA_5,59731.0,15628.0,44103.0
2036,AB_2134_BLR_6,44976.0,0.0,44976.0
2037,AB_2625_DEL_6,44398.0,0.0,44398.0
2038,AB_2135_GAU_6,44976.0,0.0,44976.0
2039,AB_2364_BLR_6,44398.0,0.0,44398.0
2040,AB_2365_PNQ_6,44398.0,0.0,44398.0
2041,AB_2437_BLR_6,44398.0,0.0,44398.0
2042,AB_2627_GOX_6,44398.0,0.0,44398.0
2043,AB_2851_IXB_6,44976.0,0.0,44976.0
2044,AB_2509_PNQ_6,44398.0,0.0,44398.0
2045,AB_2624_GOX_6,44398.0,0.0,44398.0
2046,AB_2850_BLR_6,44976.0,0.0,44976.0
2047,AB_2491_BOM_5,58725.0,14935.33,43789.67
2048,AB_2564_CCU_5,44829.0,0.0,44829.0
2049,AB_2324_GAU_5,59171.0,15950.2,43220.8
2050,AB_2492_VNS_7,44746.0,0.0,44746.0
2051,AB_2851_IXB_7,44757.0,0.0,44757.0
2052,AB_2397_GOX_7,44746.0,0.0,44746.0
2053,AB_2510_PNQ_8,44746.0,0.0,44746.0
2054,AB_2607_PNQ_8,44746.0,0.0,44746.0
2055,AB_2607_DEL_8,44746.0,0.0,44746.0
2056,AB_2498_BOM_7,44746.0,0.0,44746.0
2057,AB_2608_AYJ_8,44746.0,0.0,44746.0
2058,AB_2608_DEL_8,44746.0,0.0,44746.0
2059,AB_2850_BLR_7,44757.0,0.0,44757.0
2060,AB_2497_VNS_7,44746.0,0.0,44746.0
2061,AB_2505_AMD_8,44746.0,0.0,44746.0
2062,AB_2134_BLR_7,44757.0,0.0,44757.0
2063,AB_2349_BOM_7,44746.0,0.0,44746.0
2064,AB_2421_BLR_7,44746.0,0.0,44746.0
2065,AB_2462_BLR_20,44976.0,0.0,44976.0
2066,AB_2108_AMD_20,44852.0,0.0,44852.0
2067,AB_2411_DEL_20,44866.0,0.0,44866.0
2068,AB_2340_BLR_21,44866.0,0.0,44866.0
2069,AB_2372_BLR_20,44710.0,0.0,44710.0
2070,AB_2410_BOM_20,44866.0,0.0,44866.0
2071,AB_2349_BOM_20,45430.0,0.0,45430.0
2072,AB_2312_PNQ_20,44818.0,0.0,44818.0
2073,AB_2505_AMD_20,44377.0,0.0,44377.0
2074,AB_2608_AYJ_20,44377.0,0.0,44377.0
2075,AB_2325_BLR_20,45446.0,0.0,45446.0
2076,AB_2365_PNQ_20,44796.0,0.0,44796.0
2077,AB_2497_VNS_20,45430.0,0.0,45430.0
2078,AB_2407_HYD_20,44951.0,0.0,44951.0
2079,AB_2485_BLR_20,44463.0,0.0,44463.0
2080,AB_2107_BOM_20,44757.0,0.0,44757.0
2081,AB_2380_BOM_20,44866.0,0.0,44866.0
2082,AB_2432_BLR_20,44951.0,0.0,44951.0
2083,AB_2526_LKO_20,44520.0,0.0,44520.0
2084,AB_2135_GAU_20,44829.0,0.0,44829.0
2085,AB_2510_PNQ_20,44377.0,0.0,44377.0
2086,AB_2607_PNQ_20,44377.0,0.0,44377.0
2087,AB_2504_GAU_20,44976.0,0.0,44976.0
2088,AB_2519_COK_20,44584.0,0.0,44584.0
2089,AB_2134_BLR_20,44829.0,0.0,44829.0
2090,AB_2498_BOM_20,45430.0,0.0,45430.0
2091,AB_2851_IXB_20,44829.0,0.0,44829.0
2092,AB_2323_BLR_20,45286.0,0.0,45286.0
2093,AB_2385_BOM_20,44398.0,0.0,44398.0
2094,AB_2146_DEL_20,44774.0,0.0,44774.0
2095,AB_2172_BOM_20,44757.0,0.0,44757.0
2096,AB_2342_AMD_20,44746.0,0.0,44746.0
2097,AB_2379_GOX_20,44746.0,0.0,44746.0
2098,AB_2406_DEL_20,44951.0,0.0,44951.0
2099,AB_2409_DEL_20,44951.0,0.0,44951.0
2100,AB_2492_VNS_20,45430.0,0.0,45430.0
2101,AB_2643_HYD_20,44398.0,0.0,44398.0
2102,AB_2341_BOM_20,44584.0,0.0,44584.0
2103,AB_2366_BLR_20,44852.0,0.0,44852.0
2104,AB_2373_IXB_20,44710.0,0.0,44710.0
2105,AB_2386_IXB_20,44398.0,0.0,44398.0
2106,AB_2405_HYD_20,44951.0,0.0,44951.0
2107,AB_2124_BOM_20,44757.0,0.0,44757.0
2108,AB_2318_PNQ_20,44746.0,0.0,44746.0
2109,AB_2719_DEL_20,44398.0,0.0,44398.0
2110,AB_2324_IXA_20,45286.0,0.0,45286.0
2111,AB_2518_BOM_20,44584.0,0.0,44584.0
2112,AB_2378_DEL_20,44746.0,0.0,44746.0
2113,AB_2509_PNQ_20,44796.0,0.0,44796.0
2114,AB_2367_BOM_20,44976.0,0.0,44976.0
2115,AB_2376_BOM_20,44852.0,0.0,44852.0
2116,AB_2401_LKO_20,44818.0,0.0,44818.0
2117,AB_2173_CCU_20,44757.0,0.0,44757.0
2118,AB_2377_BLR_20,44710.0,0.0,44710.0
2119,AB_2451_BOM_20,44520.0,0.0,44520.0
2120,AB_2508_AMD_20,44746.0,0.0,44746.0
2121,AB_2104_BLR_20,44584.0,0.0,44584.0
2122,AB_2143_PNQ_20,44866.0,0.0,44866.0
2123,AB_2397_GOX_20,45430.0,0.0,45430.0
2124,AB_2424_VNS_20,45438.0,0.0,45438.0
2125,AB_2125_CCU_20,44757.0,0.0,44757.0
2126,AB_2145_AMD_20,44398.0,0.0,44398.0
2127,AB_2781_BOM_20,44852.0,0.0,44852.0
2128,AB_2109_BLR_20,44584.0,0.0,44584.0
2129,AB_2358_GOX_20,44866.0,0.0,44866.0
2130,AB_2541_CCU_20,44710.0,0.0,44710.0
2131,AB_2120_BOM_20,44774.0,0.0,44774.0
2132,AB_2142_GOX_20,44866.0,0.0,44866.0
2133,AB_2736_BLR_20,44852.0,0.0,44852.0
2134,AB_2375_BLR_20,44757.0,0.0,44757.0
2135,AB_2503_BOM_20,44976.0,0.0,44976.0
2136,AB_2550_BLR_20,44803.0,0.0,44803.0
2137,AB_2525_LKO_20,44520.0,0.0,44520.0
2138,AB_2551_PNQ_20,44803.0,0.0,44803.0
2139,AB_2364_BLR_20,44796.0,0.0,44796.0
2140,AB_2463_GOX_20,44976.0,0.0,44976.0
2141,AB_2850_BLR_20,44829.0,0.0,44829.0
2142,AB_2102_AMD_20,45446.0,0.0,45446.0
2143,AB_2311_BLR_20,44818.0,0.0,44818.0
